"","id","wave","friends","popular","actfare","friends_z","popular_z"
"80","01c17",4,0.285714285714286,0.333333333333333,1,-0.405975088166878,-0.401488179399833
"81","01c18",1,0.5,0.333333333333333,0,-0.191689373881164,-0.401488179399833
"82","01c18",2,0.5,0.666666666666667,1,-0.191689373881164,-0.0681548460664988
"83","01c18",3,0.25,0.666666666666667,1,-0.441689373881164,-0.0681548460664988
"84","01c18",4,0.428571428571429,0.333333333333333,0,-0.263117945309735,-0.401488179399833
"85","01c2",1,0.222222222222222,0.333333333333333,0,-0.469467151658942,-0.401488179399833
"86","01c2",2,0.5,0.666666666666667,1,-0.191689373881164,-0.0681548460664988
"87","01c2",3,0.25,0.666666666666667,0,-0.441689373881164,-0.0681548460664988
"88","01c2",4,0.25,0.333333333333333,0,-0.441689373881164,-0.401488179399833
"89","01c5",1,0.333333333333333,0.333333333333333,0,-0.358356040547831,-0.401488179399833
"90","01c5",2,0.666666666666667,0.666666666666667,0,-0.025022707214497,-0.0681548460664988
"91","01c5",3,0.428571428571429,0.666666666666667,0,-0.263117945309735,-0.0681548460664988
"92","01c5",4,0.428571428571429,0.333333333333333,0,-0.263117945309735,-0.401488179399833
"93","01c6",1,0.2,0.333333333333333,0,-0.491689373881164,-0.401488179399833
"94","01c6",2,0.25,0.666666666666667,0,-0.441689373881164,-0.0681548460664988
"95","01c6",3,0,0.666666666666667,0,-0.691689373881164,-0.0681548460664988
"96","01c7",1,0.25,0.333333333333333,0,-0.441689373881164,-0.401488179399833
"97","01c7",2,0.4,0.666666666666667,1,-0.291689373881164,-0.0681548460664988
"98","01c7",3,0.333333333333333,0.666666666666667,0,-0.358356040547831,-0.0681548460664988
"99","01c7",4,0.25,0.333333333333333,1,-0.441689373881164,-0.401488179399833
"100","01c8",1,0,0.333333333333333,0,-0.691689373881164,-0.401488179399833
"101","01c9",1,0.2,0.333333333333333,0,-0.491689373881164,-0.401488179399833
"102","01c9",2,0.2,0.666666666666667,0,-0.491689373881164,-0.0681548460664988
"103","01c9",3,0,0.666666666666667,0,-0.691689373881164,-0.0681548460664988
"104","01d10",1,0.142857142857143,0,0,-0.548832231024021,-0.734821512733166
"105","01d10",2,0.333333333333333,0,0,-0.358356040547831,-0.734821512733166
"106","01d10",3,0.142857142857143,0,0,-0.548832231024021,-0.734821512733166
"107","01d10",4,0,0.25,0,-0.691689373881164,-0.484821512733166
"108","01d11",1,0.25,0,0,-0.441689373881164,-0.734821512733166
"109","01d11",2,0.166666666666667,0,1,-0.525022707214497,-0.734821512733166
"110","01d11",3,0,0,1,-0.691689373881164,-0.734821512733166
"111","01d11",4,0.25,0.25,1,-0.441689373881164,-0.484821512733166
"112","01d13",1,0,0,0,-0.691689373881164,-0.734821512733166
"113","01d13",2,0,0,0,-0.691689373881164,-0.734821512733166
"114","01d13",3,0,0,0,-0.691689373881164,-0.734821512733166
"115","01d13",4,0,0.25,0,-0.691689373881164,-0.484821512733166
"116","01d14",1,0.333333333333333,0,0,-0.358356040547831,-0.734821512733166
"117","01d14",2,0.2,0,0,-0.491689373881164,-0.734821512733166
"118","01d14",3,0.166666666666667,0,0,-0.525022707214497,-0.734821512733166
"119","01d14",4,0.2,0.25,0,-0.491689373881164,-0.484821512733166
"120","01d15",1,0,0,0,-0.691689373881164,-0.734821512733166
"121","01d15",2,0.333333333333333,0,0,-0.358356040547831,-0.734821512733166
"122","01d15",3,0,0,0,-0.691689373881164,-0.734821512733166
"123","01d15",4,0.285714285714286,0.25,0,-0.405975088166878,-0.484821512733166
"124","01d16",1,0,0,1,-0.691689373881164,-0.734821512733166
"125","01d16",2,0.166666666666667,0,1,-0.525022707214497,-0.734821512733166
"126","01d16",3,0.166666666666667,0,1,-0.525022707214497,-0.734821512733166
"127","01d16",4,0,0.25,1,-0.691689373881164,-0.484821512733166
"128","01d17",1,0,0,0,-0.691689373881164,-0.734821512733166
